rank,country,noc,iso2,flag_url,gold,silver,bronze,total,is_eu
1,European Union,EU27,EU,https://flagcdn.com/w40/eu.png,27,27,29,83,True
2,People's Republic of China,CHN,CN,https://flagcdn.com/w40/cn.png,14,11,13,38,False
3,United States,USA,US,https://flagcdn.com/w40/us.png,10,5,5,20,False
4,Austria,AUT,AT,https://flagcdn.com/w40/at.png,7,2,4,13,True
5,Italy,ITA,IT,https://flagcdn.com/w40/it.png,6,7,1,14,True
6,Russia,RUS,RU,https://flagcdn.com/w40/ru.png,5,1,3,9,False
7,France,FRA,FR,https://flagcdn.com/w40/fr.png,4,4,3,11,True
8,Ukraine,UKR,UA,https://flagcdn.com/w40/ua.png,3,7,7,17,False
9,Canada,CAN,CA,https://flagcdn.com/w40/ca.png,3,3,7,13,False
10,Sweden,SWE,SE,https://flagcdn.com/w40/se.png,3,0,4,7,True
11,Germany,GER,DE,https://flagcdn.com/w40/de.png,2,5,9,16,True
12,Netherlands,NED,NL,https://flagcdn.com/w40/nl.png,2,3,1,6,True
13,Norway,NOR,NO,https://flagcdn.com/w40/no.png,2,2,2,6,False
14,Switzerland,SUI,CH,https://flagcdn.com/w40/ch.png,2,2,1,5,False
15,Spain,ESP,ES,https://flagcdn.com/w40/es.png,2,1,1,4,True
16,South Korea,KOR,KR,https://flagcdn.com/w40/kr.png,1,4,1,6,False
17,Czech Republic,CZE,CZ,https://flagcdn.com/w40/cz.png,1,3,1,5,True
18,Belarus,BLR,BY,https://flagcdn.com/w40/by.png,1,1,0,2,False
19,Kazakhstan,KAZ,KZ,https://flagcdn.com/w40/kz.png,1,0,1,2,False
20,Japan,JPN,JP,https://flagcdn.com/w40/jp.png,0,3,0,3,False
21,Finland,FIN,FI,https://flagcdn.com/w40/fi.png,0,2,0,2,True
22,Australia,AUS,AU,https://flagcdn.com/w40/au.png,0,1,1,2,False
23,Brazil,BRA,BR,https://flagcdn.com/w40/br.png,0,1,0,1,False
23,Great Britain,GBR,GB,https://flagcdn.com/w40/gb.png,0,1,0,1,False
25,Slovakia,SVK,SK,https://flagcdn.com/w40/sk.png,0,0,3,3,True
26,Latvia,LAT,LV,https://flagcdn.com/w40/lv.png,0,0,1,1,True
26,Poland,POL,PL,https://flagcdn.com/w40/pl.png,0,0,1,1,True
